,test_n,p_test,Run,Fraction Dead,Fraction Infected,Fraction Quarantined,Fraction Recovered,hood,density,p_reinf,p_death,p_inf,p_rec
0,0.05,True,0,0.1536,0.0,0.0,0.9602,Moore,0.25,0.01,0.02,0.1,0.1
1,0.05,False,1,0.1836,0.0,0.0,0.9942,Moore,0.25,0.01,0.02,0.1,0.1
2,0.1,True,2,0.1444,0.0,0.0,0.8985,Moore,0.25,0.01,0.02,0.1,0.1
3,0.1,False,3,0.1674,0.0,0.0,0.9824,Moore,0.25,0.01,0.02,0.1,0.1
4,0.15,True,4,0.1305,0.0,0.0,0.8382,Moore,0.25,0.01,0.02,0.1,0.1
5,0.15,False,5,0.1551,0.0,0.0,0.9599,Moore,0.25,0.01,0.02,0.1,0.1
