,test_n,p_test,Run,Fraction Dead,Fraction Infected,Fraction Quarantined,Fraction Recovered,hood,density,p_reinf,p_death,p_inf,p_rec
0,0.02,True,0,0.3396,0.0,0.0,0.9986,Moore,0.35,0.01,0.05,0.15,0.1
1,0.02,False,1,0.3489,0.0,0.0,0.9998,Moore,0.35,0.01,0.05,0.15,0.1
2,0.05,True,2,0.3276,0.0,0.0,0.9944,Moore,0.35,0.01,0.05,0.15,0.1
3,0.05,False,3,0.352,0.0,0.0,0.9996,Moore,0.35,0.01,0.05,0.15,0.1
4,0.1,True,4,0.3207,0.0,0.0,0.9836,Moore,0.35,0.01,0.05,0.15,0.1
5,0.1,False,5,0.3403,0.0,0.0,0.9975,Moore,0.35,0.01,0.05,0.15,0.1
6,0.15,True,6,0.3039,0.0,0.0,0.9703,Moore,0.35,0.01,0.05,0.15,0.1
7,0.15,False,7,0.3228,0.0,0.0,0.9962,Moore,0.35,0.01,0.05,0.15,0.1
